hotel_name,hotel_url,city,rating,latitude,longitude,description,date_time,weather_descrip,lat,lon,temp_day,humidity,dew_point,wind_speed,clouds
Au Petit Paradis,https://www.booking.com/hotel/fr/au-petit-paradis-ammerschwihr.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCI3NlYXJjaF9jaGF0ZWF1IGR1IGhhdXQga29lbmlnc2JvdXJnSDNYBGhNiAEBmAEJuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKD3JG9BsACAdICJDJkYmYxZGM2LTUwYWYtNDMyZS1hNjc1LWU5OTU2OGNhNTkwZdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=d2b939415f700317&srepoch=1738829316&from=searchresults,Chateau du Haut Koenigsbourg,8.9,48.126701998183,7.281635474999,"Situated in Ammerschwihr, 8.4 km from House of the Heads, 8.8 km from Saint-Martin Collegiate Church and 8.9 km from Colmar Expo, Au Petit Paradis features accommodation with a terrace and free WiFi. Boasting room service, this property also provides guests with a picnic area. Guests can make use of barbecue facilities.

This spacious bed and breakfast will provide guests with a satellite TV, a seating area and a CD player. The kitchenette has a microwave, a toaster and a fridge and there is a private bathroom with bathrobes and a hair dryer. The property has an outdoor dining area.

The traditional restaurant at the bed and breakfast specialises in French cuisine, and is open for dinner and lunch.

For guests with children, Au Petit Paradis provides outdoor play equipment. If you would like to discover the area, hiking is possible in the surroundings.

Colmar Train Station is 9.1 km from the accommodation, while Le Haut Koenigsbourg Castle is 24 km from the property. Strasbourg International Airport is 65 km away.",2025-02-11 12:00:00,clear sky,48.249410749999996,7.344320233724503,2.74,56.0,-4.35,2.09,8.0
Au Petit Paradis,https://www.booking.com/hotel/fr/au-petit-paradis-ammerschwihr.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCI3NlYXJjaF9jaGF0ZWF1IGR1IGhhdXQga29lbmlnc2JvdXJnSDNYBGhNiAEBmAEJuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKD3JG9BsACAdICJDJkYmYxZGM2LTUwYWYtNDMyZS1hNjc1LWU5OTU2OGNhNTkwZdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=d2b939415f700317&srepoch=1738829316&from=searchresults,Chateau du Haut Koenigsbourg,8.9,48.126701998183,7.281635474999,"Situated in Ammerschwihr, 8.4 km from House of the Heads, 8.8 km from Saint-Martin Collegiate Church and 8.9 km from Colmar Expo, Au Petit Paradis features accommodation with a terrace and free WiFi. Boasting room service, this property also provides guests with a picnic area. Guests can make use of barbecue facilities.

This spacious bed and breakfast will provide guests with a satellite TV, a seating area and a CD player. The kitchenette has a microwave, a toaster and a fridge and there is a private bathroom with bathrobes and a hair dryer. The property has an outdoor dining area.

The traditional restaurant at the bed and breakfast specialises in French cuisine, and is open for dinner and lunch.

For guests with children, Au Petit Paradis provides outdoor play equipment. If you would like to discover the area, hiking is possible in the surroundings.

Colmar Train Station is 9.1 km from the accommodation, while Le Haut Koenigsbourg Castle is 24 km from the property. Strasbourg International Airport is 65 km away.",2025-02-12 12:00:00,clear sky,48.249410749999996,7.344320233724503,2.51,51.0,-5.75,3.26,0.0
Au Petit Paradis,https://www.booking.com/hotel/fr/au-petit-paradis-ammerschwihr.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCI3NlYXJjaF9jaGF0ZWF1IGR1IGhhdXQga29lbmlnc2JvdXJnSDNYBGhNiAEBmAEJuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKD3JG9BsACAdICJDJkYmYxZGM2LTUwYWYtNDMyZS1hNjc1LWU5OTU2OGNhNTkwZdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=d2b939415f700317&srepoch=1738829316&from=searchresults,Chateau du Haut Koenigsbourg,8.9,48.126701998183,7.281635474999,"Situated in Ammerschwihr, 8.4 km from House of the Heads, 8.8 km from Saint-Martin Collegiate Church and 8.9 km from Colmar Expo, Au Petit Paradis features accommodation with a terrace and free WiFi. Boasting room service, this property also provides guests with a picnic area. Guests can make use of barbecue facilities.

This spacious bed and breakfast will provide guests with a satellite TV, a seating area and a CD player. The kitchenette has a microwave, a toaster and a fridge and there is a private bathroom with bathrobes and a hair dryer. The property has an outdoor dining area.

The traditional restaurant at the bed and breakfast specialises in French cuisine, and is open for dinner and lunch.

For guests with children, Au Petit Paradis provides outdoor play equipment. If you would like to discover the area, hiking is possible in the surroundings.

Colmar Train Station is 9.1 km from the accommodation, while Le Haut Koenigsbourg Castle is 24 km from the property. Strasbourg International Airport is 65 km away.",2025-02-13 12:00:00,clear sky,48.249410749999996,7.344320233724503,0.91,54.0,-6.64,2.86,7.0
Romantic Studio Vacances,https://www.booking.com/hotel/fr/romantic-studio-vacances.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCI3NlYXJjaF9jaGF0ZWF1IGR1IGhhdXQga29lbmlnc2JvdXJnSDNYBGhNiAEBmAEJuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKD3JG9BsACAdICJDJkYmYxZGM2LTUwYWYtNDMyZS1hNjc1LWU5OTU2OGNhNTkwZdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=26&hapos=26&sr_order=popularity&srpvid=d2b939415f700317&srepoch=1738829316&from=searchresults,Chateau du Haut Koenigsbourg,9.4,48.097300251433985,7.204488515853882,"Featuring free bikes, garden and views of garden, Romantic Studio Vacances is situated in Labaroche, 15 km from House of the Heads. This apartment features free private parking, a 24-hour front desk and free WiFi. Boasting family rooms, this property also provides guests with a picnic area.

The apartment provides guests with a terrace, mountain views, a seating area, satellite flat-screen TV, a fully equipped kitchenette with an oven and a microwave, and a private bathroom with shower and a hair dryer. A toaster, a fridge and stovetop are also available, as well as a coffee machine and a kettle. At the apartment complex, each unit has bed linen and towels.

Barbecue facilities are provided.

Saint-Martin Collegiate Church is 16 km from the apartment, while Colmar Expo is 16 km from the property. EuroAirport Mulhouse Airport is 74 km away.",2025-02-11 12:00:00,clear sky,48.249410749999996,7.344320233724503,2.74,56.0,-4.35,2.09,8.0
Romantic Studio Vacances,https://www.booking.com/hotel/fr/romantic-studio-vacances.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCI3NlYXJjaF9jaGF0ZWF1IGR1IGhhdXQga29lbmlnc2JvdXJnSDNYBGhNiAEBmAEJuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKD3JG9BsACAdICJDJkYmYxZGM2LTUwYWYtNDMyZS1hNjc1LWU5OTU2OGNhNTkwZdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=26&hapos=26&sr_order=popularity&srpvid=d2b939415f700317&srepoch=1738829316&from=searchresults,Chateau du Haut Koenigsbourg,9.4,48.097300251433985,7.204488515853882,"Featuring free bikes, garden and views of garden, Romantic Studio Vacances is situated in Labaroche, 15 km from House of the Heads. This apartment features free private parking, a 24-hour front desk and free WiFi. Boasting family rooms, this property also provides guests with a picnic area.

The apartment provides guests with a terrace, mountain views, a seating area, satellite flat-screen TV, a fully equipped kitchenette with an oven and a microwave, and a private bathroom with shower and a hair dryer. A toaster, a fridge and stovetop are also available, as well as a coffee machine and a kettle. At the apartment complex, each unit has bed linen and towels.

Barbecue facilities are provided.

Saint-Martin Collegiate Church is 16 km from the apartment, while Colmar Expo is 16 km from the property. EuroAirport Mulhouse Airport is 74 km away.",2025-02-12 12:00:00,clear sky,48.249410749999996,7.344320233724503,2.51,51.0,-5.75,3.26,0.0
Romantic Studio Vacances,https://www.booking.com/hotel/fr/romantic-studio-vacances.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCI3NlYXJjaF9jaGF0ZWF1IGR1IGhhdXQga29lbmlnc2JvdXJnSDNYBGhNiAEBmAEJuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKD3JG9BsACAdICJDJkYmYxZGM2LTUwYWYtNDMyZS1hNjc1LWU5OTU2OGNhNTkwZdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=26&hapos=26&sr_order=popularity&srpvid=d2b939415f700317&srepoch=1738829316&from=searchresults,Chateau du Haut Koenigsbourg,9.4,48.097300251433985,7.204488515853882,"Featuring free bikes, garden and views of garden, Romantic Studio Vacances is situated in Labaroche, 15 km from House of the Heads. This apartment features free private parking, a 24-hour front desk and free WiFi. Boasting family rooms, this property also provides guests with a picnic area.

The apartment provides guests with a terrace, mountain views, a seating area, satellite flat-screen TV, a fully equipped kitchenette with an oven and a microwave, and a private bathroom with shower and a hair dryer. A toaster, a fridge and stovetop are also available, as well as a coffee machine and a kettle. At the apartment complex, each unit has bed linen and towels.

Barbecue facilities are provided.

Saint-Martin Collegiate Church is 16 km from the apartment, while Colmar Expo is 16 km from the property. EuroAirport Mulhouse Airport is 74 km away.",2025-02-13 12:00:00,clear sky,48.249410749999996,7.344320233724503,0.91,54.0,-6.64,2.86,7.0
City Residence Access Strasbourg,https://www.booking.com/hotel/fr/city-residence-access-strasbourg-strasbourg.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCEXNlYXJjaF9zdHJhc2JvdXJnSDNYBGhNiAEBmAEJuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKD3JG9BsACAdICJGUzODFjNmZlLTA5NzYtNGFhNS1iZTJkLWI3ZGUwMTU3MWQzMdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=71f039414e03029b&srepoch=1738829316&from=searchresults,Strasbourg,7.1,48.590014,7.73987,"Located in Strasbourg within 900 metres of Strasbourg Christmas Market, City Residence Access Strasbourg features accommodation with a TV and a kitchenette.

There is a fully equipped private bathroom with shower and free toiletries.

The 'Petite France' is a 12-minute walk from the aparthotel, while Strasbourg Cathedral is 1.2 km from the property. Strasbourg International Airport is 10 km away.",2025-02-11 12:00:00,clear sky,48.584614,7.7507127,5.51,47.0,-5.0,3.86,4.0
City Residence Access Strasbourg,https://www.booking.com/hotel/fr/city-residence-access-strasbourg-strasbourg.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCEXNlYXJjaF9zdHJhc2JvdXJnSDNYBGhNiAEBmAEJuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKD3JG9BsACAdICJGUzODFjNmZlLTA5NzYtNGFhNS1iZTJkLWI3ZGUwMTU3MWQzMdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=71f039414e03029b&srepoch=1738829316&from=searchresults,Strasbourg,7.1,48.590014,7.73987,"Located in Strasbourg within 900 metres of Strasbourg Christmas Market, City Residence Access Strasbourg features accommodation with a TV and a kitchenette.

There is a fully equipped private bathroom with shower and free toiletries.

The 'Petite France' is a 12-minute walk from the aparthotel, while Strasbourg Cathedral is 1.2 km from the property. Strasbourg International Airport is 10 km away.",2025-02-12 12:00:00,clear sky,48.584614,7.7507127,6.26,39.0,-6.77,2.81,0.0
City Residence Access Strasbourg,https://www.booking.com/hotel/fr/city-residence-access-strasbourg-strasbourg.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCEXNlYXJjaF9zdHJhc2JvdXJnSDNYBGhNiAEBmAEJuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKD3JG9BsACAdICJGUzODFjNmZlLTA5NzYtNGFhNS1iZTJkLWI3ZGUwMTU3MWQzMdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=71f039414e03029b&srepoch=1738829316&from=searchresults,Strasbourg,7.1,48.590014,7.73987,"Located in Strasbourg within 900 metres of Strasbourg Christmas Market, City Residence Access Strasbourg features accommodation with a TV and a kitchenette.

There is a fully equipped private bathroom with shower and free toiletries.

The 'Petite France' is a 12-minute walk from the aparthotel, while Strasbourg Cathedral is 1.2 km from the property. Strasbourg International Airport is 10 km away.",2025-02-13 12:00:00,clear sky,48.584614,7.7507127,4.97,44.0,-6.15,4.26,2.0
WS Tour Eiffel - Laos,https://www.booking.com/hotel/fr/apartments-ws-tour-eiffel-laos.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wYXJpc0gzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCgNyRvQbAAgHSAiQ5ZDg1Nzk5Mi00MmUyLTRkYmItYjAxZi1kNzFkZDdkMDY0ZmbYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=ed21394068760010&srepoch=1738829313&from=searchresults,Paris,8.3,48.8500942,2.3008671,"Featuring 3-star accommodation, WS Tour Eiffel - Laos is located in Paris, 1.3 km from Eiffel Tower and 1.7 km from Rodin Museum. Among the facilities at this property are a lift and full-day security, along with free WiFi throughout the property. Staff on-site can arrange a shuttle service.

At the apartment complex, every unit has a desk, a flat-screen TV, a private bathroom, bed linen and towels. A microwave, a fridge and stovetop are also provided in the kitchen, as well as a coffee machine. The units will provide guests with a wardrobe and a kettle.

A selection of options including fresh pastries, fruits and juice is served for breakfast, and breakfast in the room is also available.

Orsay Museum is 2.7 km from the apartment, while Musée de l'Orangerie is 2.8 km from the property. Paris - Orly Airport is 15 km away, and the property offers a paid airport shuttle service.",2025-02-09 13:00:00,clear sky,48.8534951,2.3483915,8.57,59.0,0.92,5.8,0.0
