,num_day,timestamp,city,lat,lon,temp_celsius,humidity,dew_point,weather_main,weather_descrip,clouds,wind_speed,pop
54,6,1739361600,Lille,50.6365654,3.0635282,7.18,51,-2.42,Clear,clear sky,3,4.85,0.0
55,7,1739448000,Lille,50.6365654,3.0635282,6.39,42,-5.73,Clear,clear sky,0,4.28,0.0
56,1,1738926000,Strasbourg,48.584614,7.7507127,4.29,65,-1.69,Clouds,overcast clouds,100,3.7,0.0
57,2,1739012400,Strasbourg,48.584614,7.7507127,4.86,64,-1.29,Clouds,overcast clouds,90,3.12,0.0
58,3,1739098800,Strasbourg,48.584614,7.7507127,6.04,56,-2.13,Clouds,scattered clouds,27,3.47,0.0
59,4,1739185200,Strasbourg,48.584614,7.7507127,5.8100000000000005,63,-0.61,Clouds,broken clouds,65,2.37,0.0
60,5,1739271600,Strasbourg,48.584614,7.7507127,6.06,56,-1.9500000000000002,Clouds,broken clouds,53,2.63,0.0
61,6,1739358000,Strasbourg,48.584614,7.7507127,5.49,50,-4.24,Clear,clear sky,1,2.49,0.0
62,7,1739444400,Strasbourg,48.584614,7.7507127,5.54,50,-4.01,Clear,clear sky,1,2.26,0.0
63,1,1738926000,Chateau du Haut Koenigsbourg,48.249410749999996,7.344320233724503,1.52,71,-2.29,Clouds,overcast clouds,100,3.0,0.0
64,2,1739012400,Chateau du Haut Koenigsbourg,48.249410749999996,7.344320233724503,3.29,66,-1.57,Clouds,overcast clouds,100,1.96,0.0
65,3,1739098800,Chateau du Haut Koenigsbourg,48.249410749999996,7.344320233724503,4.63,56,-2.56,Clouds,broken clouds,51,2.23,0.0
66,4,1739185200,Chateau du Haut Koenigsbourg,48.249410749999996,7.344320233724503,3.9,66,-1.12,Clouds,overcast clouds,90,1.7000000000000002,0.0
67,5,1739271600,Chateau du Haut Koenigsbourg,48.249410749999996,7.344320233724503,3.63,67,-1.04,Clouds,broken clouds,77,1.8900000000000001,0.0
68,6,1739358000,Chateau du Haut Koenigsbourg,48.249410749999996,7.344320233724503,4.16,56,-3.06,Clouds,scattered clouds,30,1.9500000000000002,0.0
69,7,1739444400,Chateau du Haut Koenigsbourg,48.249410749999996,7.344320233724503,4.49,57,-2.54,Clear,clear sky,3,1.6800000000000002,0.0
70,1,1738926000,Colmar,48.0777517,7.3579641,4.08,70,-1.49,Clouds,overcast clouds,100,3.56,0.0
71,2,1739012400,Colmar,48.0777517,7.3579641,5.83,66,-0.6900000000000001,Clouds,overcast clouds,100,2.1,0.0
72,3,1739098800,Colmar,48.0777517,7.3579641,6.91,58,-1.34,Clouds,broken clouds,53,2.61,0.0
73,4,1739185200,Colmar,48.0777517,7.3579641,6.43,65,-0.32,Clouds,overcast clouds,97,1.9300000000000002,0.0
74,5,1739271600,Colmar,48.0777517,7.3579641,6.35,67,0.11,Clouds,broken clouds,80,1.98,0.0
75,6,1739358000,Colmar,48.0777517,7.3579641,6.53,58,-1.85,Clouds,broken clouds,64,2.16,0.0
76,7,1739444400,Colmar,48.0777517,7.3579641,7.2,58,-1.2,Clear,clear sky,7,1.48,0.01
77,1,1738926000,Eguisheim,48.0447968,7.3079618,3.85,70,-1.6400000000000001,Clouds,overcast clouds,100,3.48,0.0
78,2,1739012400,Eguisheim,48.0447968,7.3079618,5.73,65,-0.85,Clouds,overcast clouds,100,2.13,0.0
79,3,1739098800,Eguisheim,48.0447968,7.3079618,6.44,59,-1.4,Clouds,broken clouds,58,2.6,0.0
80,4,1739185200,Eguisheim,48.0447968,7.3079618,6.2,65,-0.41000000000000003,Clouds,overcast clouds,99,2.12,0.0
81,5,1739271600,Eguisheim,48.0447968,7.3079618,6.1,68,0.18,Clouds,overcast clouds,89,1.94,0.0
82,6,1739358000,Eguisheim,48.0447968,7.3079618,6.25,59,-1.7000000000000002,Clouds,broken clouds,82,2.12,0.0
83,7,1739444400,Eguisheim,48.0447968,7.3079618,7.12,58,-1.11,Clear,clear sky,9,1.49,0.08
84,1,1738926000,Besancon,47.2380222,6.0243622,8.33,58,0.13,Clouds,overcast clouds,100,2.95,0.0
85,2,1739012400,Besancon,47.2380222,6.0243622,7.46,62,0.13,Clouds,overcast clouds,100,2.58,0.0
86,3,1739098800,Besancon,47.2380222,6.0243622,7.3,66,1.06,Clouds,overcast clouds,98,1.83,0.0
87,4,1739185200,Besancon,47.2380222,6.0243622,7.53,68,1.72,Clouds,overcast clouds,99,2.49,0.0
88,5,1739271600,Besancon,47.2380222,6.0243622,10.34,63,3.35,Clouds,overcast clouds,100,1.8900000000000001,0.0
89,6,1739358000,Besancon,47.2380222,6.0243622,11.59,66,4.96,Clouds,broken clouds,71,2.91,0.0
90,7,1739444400,Besancon,47.2380222,6.0243622,6.34,93,4.84,Rain,light rain,100,1.79,1.0
91,1,1738926000,Dijon,47.3215806,5.0414701,4.68,69,-1.02,Clouds,overcast clouds,99,4.98,0.0
92,2,1739012400,Dijon,47.3215806,5.0414701,5.97,63,-0.84,Clouds,overcast clouds,100,3.64,0.0
93,3,1739098800,Dijon,47.3215806,5.0414701,6.66,67,0.66,Clouds,overcast clouds,98,3.47,0.0
94,4,1739185200,Dijon,47.3215806,5.0414701,4.43,91,2.64,Rain,moderate rain,100,2.84,1.0
95,5,1739271600,Dijon,47.3215806,5.0414701,8.36,74,3.69,Clouds,overcast clouds,100,2.39,0.73
96,6,1739358000,Dijon,47.3215806,5.0414701,9.95,74,5.15,Clouds,broken clouds,64,3.43,0.0
97,7,1739444400,Dijon,47.3215806,5.0414701,5.61,99,5.08,Rain,light rain,100,2.86,1.0
98,1,1738926000,Annecy,45.8992348,6.1288847,7.76,49,-3.7800000000000002,Clouds,overcast clouds,85,1.82,0.0
99,2,1739012400,Annecy,45.8992348,6.1288847,6.88,50,-4.25,Clouds,overcast clouds,100,2.0,0.0
100,3,1739098800,Annecy,45.8992348,6.1288847,8.17,68,1.07,Clouds,overcast clouds,100,1.49,0.0
101,4,1739185200,Annecy,45.8992348,6.1288847,8.78,69,1.79,Clouds,overcast clouds,91,1.69,0.0
102,5,1739271600,Annecy,45.8992348,6.1288847,10.33,56,0.39,Clouds,overcast clouds,100,1.3599999999999999,0.0
103,6,1739358000,Annecy,45.8992348,6.1288847,11.22,55,1.1400000000000001,Clouds,broken clouds,83,1.92,0.0
104,7,1739444400,Annecy,45.8992348,6.1288847,4.5,99,2.84,Rain,moderate rain,100,1.3599999999999999,1.0
105,1,1738926000,Grenoble,45.1875602,5.7357819,11.78,49,-1.09,Clouds,broken clouds,74,2.07,0.0
106,2,1739012400,Grenoble,45.1875602,5.7357819,12.02,41,-3.06,Clouds,overcast clouds,100,2.08,0.0
107,3,1739098800,Grenoble,45.1875602,5.7357819,11.22,58,0.64,Clouds,overcast clouds,92,1.6099999999999999,0.0
108,4,1739185200,Grenoble,45.1875602,5.7357819,13.82,63,4.19,Rain,light rain,77,2.03,0.4
109,5,1739271600,Grenoble,45.1875602,5.7357819,14.27,51,1.6099999999999999,Clouds,overcast clouds,100,1.83,0.0
110,6,1739358000,Grenoble,45.1875602,5.7357819,14.91,53,2.9,Rain,light rain,54,1.47,0.68
111,7,1739444400,Grenoble,45.1875602,5.7357819,8.02,96,4.5,Rain,moderate rain,100,1.67,1.0
112,1,1738926000,Lyon,45.7578137,4.8320114,10.29,51,0.39,Clouds,broken clouds,74,7.03,0.0
113,2,1739012400,Lyon,45.7578137,4.8320114,6.76,41,-5.9,Clouds,overcast clouds,100,1.8,0.0
114,3,1739098800,Lyon,45.7578137,4.8320114,8.1,59,0.17,Clouds,overcast clouds,97,1.75,0.0
115,4,1739185200,Lyon,45.7578137,4.8320114,6.22,87,3.73,Rain,moderate rain,100,1.78,1.0
116,5,1739271600,Lyon,45.7578137,4.8320114,10.6,68,4.61,Rain,light rain,100,2.7800000000000002,0.23
117,6,1739358000,Lyon,45.7578137,4.8320114,12.35,63,5.1,Rain,light rain,57,3.5700000000000003,0.99
118,7,1739444400,Lyon,45.7578137,4.8320114,7.89,89,5.84,Rain,moderate rain,100,4.58,1.0
119,1,1738926000,Gorges du Verdon,43.7496562,6.3285616,6.48,46,-4.09,Clouds,few clouds,17,5.11,0.0
120,2,1739012400,Gorges du Verdon,43.7496562,6.3285616,3.6,77,0.38,Rain,moderate rain,100,3.54,1.0
121,3,1739098800,Gorges du Verdon,43.7496562,6.3285616,3.58,91,2.6,Rain,light rain,100,1.97,1.0
