,num_day,timestamp,city,lat,lon,temp_celsius,humidity,dew_point,weather_main,weather_descrip,clouds,wind_speed,pop
233,3,1739102400,Bayonne,43.4945144,-1.4736657,8.93,68,3.15,Rain,light rain,14,2.7800000000000002,0.58
234,4,1739188800,Bayonne,43.4945144,-1.4736657,9.35,70,3.96,Rain,light rain,100,3.47,1.0
235,5,1739275200,Bayonne,43.4945144,-1.4736657,12.32,71,6.96,Clouds,overcast clouds,100,3.86,0.04
236,6,1739361600,Bayonne,43.4945144,-1.4736657,14.72,67,8.42,Rain,light rain,100,3.27,1.0
237,7,1739448000,Bayonne,43.4945144,-1.4736657,16.71,59,8.64,Clouds,scattered clouds,41,3.61,0.62
238,1,1738929600,La Rochelle,46.159732,-1.1515951,4.4,84,1.99,Clouds,overcast clouds,100,7.8100000000000005,0.0
239,2,1739016000,La Rochelle,46.159732,-1.1515951,7.38,70,2.24,Clouds,scattered clouds,41,5.37,0.30000000000000004
240,3,1739102400,La Rochelle,46.159732,-1.1515951,4.21,92,3.02,Rain,light rain,99,5.78,1.0
241,4,1739188800,La Rochelle,46.159732,-1.1515951,3.29,99,3.13,Rain,moderate rain,100,7.33,1.0
242,5,1739275200,La Rochelle,46.159732,-1.1515951,11.26,77,7.36,Rain,light rain,100,7.59,1.0
243,6,1739361600,La Rochelle,46.159732,-1.1515951,9.32,96,8.69,Rain,moderate rain,100,6.16,1.0
244,7,1739448000,La Rochelle,46.159732,-1.1515951,10.61,76,6.55,Clouds,broken clouds,72,9.48,0.48
